dept_abb,dept_name,dept_id,dept_url,priority_body,priority_id,priority_strapline,action_id,action_body,action_notes,schedule_start_date,schedule_end_date,actual_start_date,actual_end_date,subaction_id,subaction_body,subaction_notes,subaction_schedule_start_date,subaction_schedule_end_date,act_start,act_end,sched_start_endmonth,sched_end_endmonth,sched_duration,act_duration,duration_sofar,delta_duration,started,ended,start_status,end_status,startearlyby,startedlateby,startoverdueby,endearlyby,endedlateby,endoverdueby,duetostartthismonth,duetoendthismonth,duetostartwithin30days,duetoendwithin30days,startedthismonth,startedinlast30days,endedthismonth,endedinlast30days,datetimestring,datestring
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2547,"1.1 Support new forms of provision in the public sector, including mutuals, co-operatives, joint ventures and other commercial models",,,,,,2579,1.1.i Develop and publish a forward look of emerging public service mutuals across England,,Started,Jul 2012,NA,NA,NA,2012-07-31,NA,NA,NA,NA,1,0,Carried over,Not due,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2012-07-22 23:12:58,2012-07-22
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2547,"1.1 Support new forms of provision in the public sector, including mutuals, co-operatives, joint ventures and other commercial models",,,,,,2583,"1.1.ii Publish report on the work of the Mutuals Taskforce, the first annual report on the wider mutuals programme and a ‘one-year on’ report",,Jul 2012,Oct 2013,NA,NA,2012-07-31,2013-10-31,487,NA,NA,NA,0,0,Not due,Not due,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,2012-07-22 23:12:58,2012-07-22
